Cod. T.Cultivo,Dosis Madurante,TCHM,TAHM,Sac.Caña Precosecha,%Sac.Caña,%Sac.Muestreadora,%ATR,%AR Jugo,Lluvias (2 Meses Ant.)
1.0,0.0,11.470996,1.076132,14.2207,11.087,11.627,12.696,0.705,112.0
1.0,0.0,10.662445,1.003593,17.0397,11.0841,11.8546,12.5319,0.7619,221.0
1.0,0.0,7.300315,0.634377,17.4428,10.527,11.246,12.331,0.85,423.0
1.0,0.0,9.64267,0.832446,16.1583,10.3249,10.6187,11.7151,0.7215,0.0
1.0,1.0,11.963977,1.298543,0.0,12.4469,13.323,13.7889,0.647,230.0
1.0,0.8,9.268465,0.942451,16.7182,11.8535,12.1996,13.1556,0.5987,445.0
1.0,1.0,8.827111,0.872435,17.7015,11.4629,11.9246,12.8037,0.5702,144.0
1.0,0.0,12.487716,1.221478,7.802876075066487,11.377,11.983,13.025,0.82,0.0
1.0,0.0,7.877907,1.379217,0.0,10.9606,11.4698,12.3746,0.6429,0.0
1.0,0.0,9.667883,0.860875,17.1872,10.723,10.938,12.973,1.35,0.0
1.0,0.0,11.483823,1.031152,15.4703,10.6258,11.3896,12.2165,0.7603,245.0
1.0,2.0,12.369112,1.064648,14.3673,10.1928,10.9163,11.7671,0.7705,58.0
1.0,0.0,9.158234,0.741239,0.0,9.781,10.2765,11.5846,0.912,0.0
1.0,0.0,10.967382,0.89035,0.0,9.662,10.136,11.285,0.86,146.0
1.0,0.8,10.870514,1.316767,17.1446,13.7973,14.1566,15.0497,0.4094,421.0
1.0,1.0,11.183394,1.319354,17.3949,13.381,14.015,14.654,0.41,120.0
1.0,1.0,12.214944,1.412383,17.0375,13.0924,13.6244,14.5135,0.5701,120.0
1.0,1.0,6.380933,0.718588,17.4012,12.6918,13.1595,14.0132,0.5111,0.0
1.0,1.0,10.126869,1.065029,16.3063,12.0763,12.5616,13.4322,0.5495,0.0
1.0,0.8,11.408038,1.174854,16.8879,12.0502,12.427,13.5056,0.76,421.0
1.0,0.0,11.983202,1.039091,16.4727,10.2115,10.6952,11.8728,0.8928,0.0
1.0,1.0,11.766108,1.338541,17.0555,12.8799,13.4384,14.2075,0.5476,0.0
1.0,0.0,12.281918,1.384188,17.9776,12.721,13.0929,13.939,0.5131,0.0
1.0,1.0,9.763214,1.078777,17.3317,12.5435,13.1026,13.8178,0.55,120.0
1.0,2.0,11.6546,1.268656,17.1024,12.4126,12.7219,13.8869,0.6569,0.0
1.0,0.0,9.709518,1.046903,14.6096,12.3165,12.7864,13.5971,0.525,0.0
1.0,1.0,12.211222,1.308472,15.3641,12.2808,12.8011,13.5443,0.5294,120.0
1.0,0.0,12.703522,1.238581,15.2245,11.255,11.7968,12.7551,0.7222,0.0
1.0,1.0,12.458953,1.205161,17.7302,11.1564,11.4009,12.6007,0.667,153.0
1.0,0.0,6.528929,0.479815,16.5756,9.039,9.322,10.87,1.35,139.0
1.0,1.2,10.649569,1.248063,14.6203,13.1669,13.8331,14.4087,0.4642,101.0
1.0,1.0,9.858998,1.117218,16.2604,12.7656,13.0125,14.0236,0.52,151.0
1.0,0.0,8.250121,0.907504,17.4702,12.299,12.19,13.489,0.47,121.0
1.0,0.0,10.489652,1.093399,16.2337,11.8995,12.2553,13.3179,0.71,0.0
1.0,1.0,12.227095,1.25964,16.1917,11.8453,12.5462,13.4564,0.8795,120.0
1.0,1.0,10.171265,1.270669,16.4396,14.057,14.427,15.489,0.63,157.0
1.0,0.0,4.23841,0.504986,0.0,13.4604,13.5816,14.9877,0.7539,0.0
1.0,1.0,11.57395,1.366728,16.8406,13.3443,13.9587,14.5962,0.4533,101.0
1.0,0.0,12.645517,1.441941,17.2405,12.8232,13.57,13.9957,0.4112,0.0
1.0,1.0,8.874803,0.97386,16.839,12.617,12.5657,14.0403,0.7108,154.0
1.0,1.0,11.876236,1.315419,0.0,12.512,12.388,13.891,0.66,101.0
1.0,1.0,14.610504,1.529409,15.3642,11.9223,12.667,13.1353,0.51,255.0
1.0,0.0,11.691492,1.219153,17.348,11.885,12.501,13.2089,0.7,0.0
1.0,2.0,13.635206,1.38454,15.035,11.5836,12.1637,12.8876,0.6275,0.0
1.0,0.0,11.46435,1.045996,16.1426,10.7405,11.1035,12.2813,0.8411,0.0
1.0,0.6,10.669159,1.23628,17.1463,13.0809,13.3363,14.4411,0.6061,0.0
1.0,0.8,8.611568,0.919123,7.802876075066487,12.177,12.2992,13.4296,0.5196,0.0
1.0,1.2,9.74733,1.010577,0.0,11.976,12.471,13.3243,0.5528,200.0
1.0,0.0,12.150678,1.258097,15.2108,11.8225,12.0486,13.1982,0.6802,0.0
1.0,1.2,10.656487,0.925444,0.0,10.2365,10.9314,11.5836,0.5687,230.0
1.0,1.0,9.532442,1.186768,0.0,13.8942,15.1614,15.165,0.4488,187.0
1.0,1.0,8.886542,1.054157,17.4572,13.3552,13.9433,14.5703,0.4216,0.0
1.0,0.0,10.500938,1.06957,14.9657,11.6992,12.3584,13.2233,0.7357,0.0
1.0,1.0,11.370483,1.130827,17.7398,11.4304,11.8949,12.7678,0.63,160.0
1.0,1.3,11.08374,1.046591,17.5277,10.8223,12.2301,12.1031,0.5707,131.0
1.0,0.0,9.727807,0.884923,15.7896,10.689,11.4938,12.142,0.6546,0.0
1.0,1.0,9.58637,1.203619,16.8107,14.041,14.7409,15.2948,0.4307,0.0
1.0,1.0,8.550857,0.999448,17.14,13.1582,15.1727,14.37,0.3754,0.0
1.0,1.0,12.794246,1.473411,16.0162,13.0208,15.1636,14.1322,0.2891,73.0
1.0,1.0,8.03896,0.917226,15.7056,12.8452,13.081,14.0119,0.4,73.0
1.0,0.0,13.071166,1.433036,16.3614,12.427,13.671,13.697,0.49,0.0
1.0,1.2,10.802441,1.124925,17.4066,11.8017,14.3011,12.9771,0.3768,131.0
1.0,1.0,9.932376,1.293368,15.6934,14.4973,16.1991,15.743,0.3737,265.0
1.0,1.0,12.717859,1.60227,16.5665,14.07,14.093,15.266,0.39,0.0
1.0,1.0,8.260721,1.025276,16.7624,13.9148,15.5614,15.1066,0.3511,0.0
1.0,0.8,8.701037,1.061371,17.4592,13.6404,14.864,14.9301,0.4807,0.0
1.0,1.0,8.49787,1.008965,16.8432,13.3041,13.7206,14.6075,0.5694,0.0
1.0,0.0,11.457954,1.308123,15.9171,12.9651,13.559,14.5325,0.78,0.0
1.0,1.0,10.970444,1.24842,16.5035,12.8501,13.916,14.0314,0.4021,0.0
